Symbol,Low,Open,Price,Volume,High,Change,Date
ACCESS,5.40,5.40,5.44,0,5.45,0.04,10/10/2016
ACCESS,5.40,5.40,5.40,0,5.41,0.00,10/7/2016
ACCESS,5.40,5.40,5.40,0,5.41,0.00,10/6/2016
,,,,,,,
ACCESS,5.40,5.45,5.40,0,5.50,-0.05,10/5/2016
ACCESS,5.45,5.55,5.45,0,5.57,-0.10,10/4/2016
ACCESS,5.55,5.53,5.55,0,5.58,0.02,9/30/2016
ACCESS,5.48,5.46,5.53,0,5.66,0.07,9/29/2016
ACCESS,5.45,5.53,5.46,0,5.50,-0.07,9/28/2016
ACCESS,5.53,5.58,5.53,0,5.57,-0.05,9/27/2016
ACCESS,5.55,5.58,5.58,0,5.58,0.00,9/26/2016
ACCESS,5.53,5.50,5.58,0,5.60,0.08,9/23/2016
ACCESS,5.53,5.57,5.58,0,5.58,0.01,9/22/2016
ACCESS,5.57,5.58,5.57,0,5.58,-0.01,9/21/2016
,,,,,,,
ACCESS,5.56,5.60,5.58,0,5.59,-0.02,9/20/2016
ACCESS,5.55,5.56,5.56,0,5.60,0.00,9/19/2016
ACCESS,5.55,5.57,5.56,0,5.59,-0.01,9/16/2016
ACCESS,5.53,5.53,5.57,0,5.58,0.04,9/15/2016
ACCESS,5.52,5.53,5.53,0,5.55,0.00,9/14/2016
ACCESS,5.47,5.47,5.53,0,5.60,0.06,9/9/2016
ACCESS,5.43,5.42,5.47,0,5.47,0.05,9/8/2016
ACCESS,5.40,5.41,5.42,0,5.45,0.01,9/7/2016
ACCESS,5.38,5.45,5.41,0,5.42,-0.04,9/6/2016
ACCESS,5.53,5.61,5.70,0,5.70,0.09,9/5/2016
,,,,,,,
ACCESS,5.55,5.60,5.61,0,5.62,0.01,9/2/2016
ACCESS,5.50,5.53,5.60,0,5.60,0.07,9/1/2016
ACCESS,5.52,5.58,5.53,0,5.58,-0.05,8/31/2016
ACCESS,5.58,5.80,5.58,0,5.65,-0.22,8/30/2016
ACCESS,5.60,5.58,5.60,0,5.66,0.02,8/29/2016
ACCESS,5.60,5.67,5.60,0,5.70,-0.07,8/26/2016
ACCESS,5.65,5.78,5.67,0,5.79,-0.11,8/25/2016
ACCESS,5.63,5.80,5.65,0,5.80,-0.15,8/24/2016
ACCESS,5.65,5.89,5.80,0,5.86,-0.09,8/23/2016
ACCESS,5.60,5.74,5.86,0,5.88,0.12,8/22/2016
,,,,,,,
ACCESS,5.36,5.34,5.60,0,5.60,0.26,8/19/2016
ACCESS,5.34,5.33,5.34,0,5.40,0.01,8/18/2016
ACCESS,5.20,5.41,5.33,0,5.60,-0.08,8/17/2016
ACCESS,5.41,5.54,5.41,0,5.62,-0.13,8/16/2016
ACCESS,5.50,5.57,5.54,0,5.56,-0.03,8/15/2016
ACCESS,5.55,5.58,5.57,0,5.58,-0.01,8/12/2016
ACCESS,5.50,5.60,5.58,0,5.61,-0.02,8/11/2016
ACCESS,5.56,5.50,5.60,0,5.61,0.10,8/10/2016
ACCESS,5.50,5.60,5.50,0,5.70,-0.10,8/9/2016
ACCESS,5.50,5.48,5.60,0,5.60,0.12,8/8/2016
,,,,,,,
ACCESS,5.48,5.60,5.48,0,5.60,-0.12,8/5/2016
ACCESS,5.51,5.60,5.60,0,5.65,0.00,8/4/2016
ACCESS,5.60,5.67,5.60,0,5.64,-0.07,8/3/2016
ACCESS,5.60,5.50,5.68,0,5.68,0.18,8/2/2016
ACCESS,5.43,5.41,5.50,0,5.61,0.09,8/1/2016
ACCESS,5.52,5.64,5.58,0,5.64,-0.06,7/29/2016
ACCESS,5.50,5.61,5.51,0,5.60,-0.10,7/28/2016
ACCESS,5.58,5.70,5.61,0,5.70,-0.09,7/27/2016
ACCESS,5.30,5.49,5.70,0,5.70,0.21,7/26/2016
ACCESS,5.22,5.28,5.30,0,5.35,0.02,7/25/2016
,,,,,,,
ACCESS,5.16,5.22,5.16,0,5.45,-0.06,7/22/2016
ACCESS,5.20,5.39,5.22,0,5.31,-0.17,7/21/2016
ACCESS,5.25,5.50,5.39,0,5.49,-0.11,7/20/2016
ACCESS,5.41,5.58,5.50,0,5.60,-0.08,7/19/2016
ACCESS,5.40,5.40,5.58,0,5.58,0.18,7/18/2016
ACCESS,5.40,5.52,5.40,0,5.54,-0.12,7/15/2016
ACCESS,5.52,5.60,5.52,0,5.60,-0.08,7/14/2016
ACCESS,5.55,5.60,5.60,0,5.65,0.00,7/13/2016
ACCESS,5.46,5.40,5.60,0,5.66,0.20,7/12/2016
ACCESS,5.23,5.50,5.40,0,5.50,-0.10,7/11/2016
,,,,,,,
ACCESS,5.50,5.67,5.50,0,5.82,-0.17,7/8/2016
ACCESS,5.62,5.75,5.67,0,5.71,-0.08,7/4/2016
ACCESS,5.64,5.75,5.75,0,5.75,0.00,7/1/2016
ACCESS,5.70,5.71,5.75,0,5.80,0.04,6/30/2016
ACCESS,5.71,5.70,5.71,0,5.90,0.01,6/29/2016
ACCESS,5.68,5.90,5.80,0,5.98,-0.10,6/28/2016
ACCESS,5.73,5.93,5.90,0,6.03,-0.03,6/27/2016
ACCESS,5.90,6.00,5.93,0,6.08,-0.07,6/24/2016
ACCESS,6.16,6.20,6.16,0,6.45,-0.04,6/23/2016
ACCESS,6.02,6.30,6.20,0,6.45,-0.10,6/22/2016
,,,,,,,
ACCESS,5.81,5.81,6.10,0,6.10,0.29,6/21/2016
ACCESS,5.73,5.92,5.80,0,6.04,-0.12,6/20/2016
ACCESS,5.75,5.99,5.92,0,6.07,-0.07,6/17/2016
ACCESS,5.99,6.30,5.99,0,6.49,-0.31,6/16/2016
ACCESS,5.79,5.85,6.00,0,6.07,0.15,6/15/2016
ACCESS,5.60,5.60,5.79,0,5.80,0.19,6/14/2016
ACCESS,5.50,5.52,5.75,0,5.77,0.23,6/13/2016
ACCESS,5.40,5.60,5.52,0,5.60,-0.08,6/10/2016
ACCESS,5.30,5.40,5.50,0,5.56,0.10,6/9/2016
ACCESS,5.23,5.30,5.35,0,5.40,0.05,6/8/2016
,,,,,,,
ACCESS,5.22,5.40,5.30,0,5.40,-0.10,6/7/2016
ACCESS,5.52,5.61,5.56,0,5.65,-0.05,6/6/2016
ACCESS,5.30,5.30,5.56,0,5.56,0.26,6/3/2016
ACCESS,5.04,5.04,5.29,0,5.29,0.25,6/2/2016
ACCESS,5.13,5.40,5.28,0,5.40,-0.12,6/1/2016
ACCESS,5.67,5.96,5.67,0,5.71,-0.29,5/31/2016
ACCESS,5.96,6.27,5.96,0,6.50,-0.31,5/27/2016
ACCESS,5.89,5.70,5.98,0,5.98,0.28,5/26/2016
ACCESS,5.35,5.35,5.61,0,5.61,0.26,5/25/2016
ACCESS,5.08,5.10,5.20,0,5.21,0.10,5/24/2016
,,,,,,,
ACCESS,4.95,5.20,5.10,0,5.30,-0.10,5/23/2016
ACCESS,5.30,5.37,5.35,0,5.42,-0.02,5/20/2016
ACCESS,5.20,5.11,5.35,0,5.35,0.24,5/19/2016
ACCESS,4.86,4.86,5.10,0,5.10,0.24,5/18/2016
ACCESS,4.98,4.98,5.05,0,5.22,0.07,5/17/2016
ACCESS,4.80,5.05,5.21,0,5.21,0.16,5/16/2016
ACCESS,4.54,4.60,4.83,0,4.83,0.23,5/13/2016
ACCESS,4.35,4.31,4.46,0,4.46,0.15,5/12/2016
ACCESS,4.30,4.30,4.31,0,4.35,0.01,5/11/2016
ACCESS,4.27,4.28,4.30,0,4.30,0.02,5/10/2016
,,,,,,,
ACCESS,4.17,4.20,4.28,0,4.32,0.08,5/9/2016
ACCESS,4.17,4.29,4.20,0,4.21,-0.09,5/6/2016
ACCESS,4.17,4.30,4.18,0,4.30,-0.12,5/5/2016
ACCESS,4.30,4.25,4.30,0,4.40,0.05,5/4/2016
